APOGEE_ID,TELESCOPE,FIELD,SNR,STARFLAG,ASPCAPFLAG,VHELIO_AVG,TEFF,LOGG,FE_H
2M16454132-2633003,lco25m,355+12,122.99172,0,0,-31.673332,4550.486,2.070208,-0.49505
2M18111306+6532447,apo25m,CVZ_OB18_btx,241.86969,0,0,0.53894293,4882.416,2.497958,-0.30839
2M17454218-2204381,lco25m,005+04,123.59286,0,0,-83.57353,3857.785,0.34930226,-0.5451
2M02452300+0859277,apo25m,165-45,1201.3569,0,0,31.021759,4663.6606,2.3287604,-0.067154
2M06415474-0311558,apo25m,214-04,223.08665,0,0,27.189034,4831.413,3.0794275,0.053822
2M12393781-6039051,lco25m,TRUMP20,134.60176,0,0,-39.459446,4961.4023,2.8083496,0.12747
2M18560601-2804578,lco25m,SGRC-4,452.78006,0,0,31.46624,4752.191,2.4861603,-0.36821
2M16474808-2619273,lco25m,355+12,116.80737,0,0,-48.977974,4840.776,2.4407122,-0.42054
2M18113355-1314598,apo25m,016+02,112.55753,0,0,51.9586,4092.4658,1.4846377,-0.20548
2M19363379+4522305,apo25m,K10_079+12,573.374,0,0,-11.766553,3770.2815,0.7257637,-0.38637
2M06574656+3717487,apo25m,180+18,367.87302,0,0,-11.137531,4833.7617,2.5053287,-0.16718
2M06415244+2257295,apo25m,191+08,119.847435,0,0,70.408134,4853.807,2.4575458,-0.26907
2M20293352+3924093,apo25m,079+00,261.37857,0,0,-15.28477,6397.4854,4.13582,0.048455
2M08425791+1021264,apo25m,K2_C16_215+29_btx,974.7148,0,0,15.30217,4795.6733,2.5241745,-0.0050874
2M11454780-6236471,lco25m,296+00,115.75404,0,0,-6.732014,4760.9224,2.361569,0.025656
2M15564694+2421449,apo25m,041+48_MGA,143.59271,0,0,-89.85943,5152.133,2.216696,-1.4749
2M21274478+1323475,apo25m,M15,364.08463,0,0,-51.05911,4365.458,1.7479429,-0.41187
2M19285078+4054466,apo25m,K16_075+11,160.71417,0,0,-58.396645,4809.0654,2.9280217,-0.012435
2M05273270-7829010,lco25m,290-30-O_TESS,296.4864,0,0,-47.522556,4862.43,2.397863,-0.26823
2M15265482+4329197,apo25m,070+54,394.24756,0,0,-3.8644183,6494.628,4.188648,-0.035643
2M04303109+3048559,apo25m,169-12,233.27971,0,0,13.792691,4914.211,2.4370332,-0.29337
2M18103428-2310081,apo25m,008-02,251.09012,0,0,-207.39064,4074.5352,0.7695561,-1.1873
2M13445411+2711417,apo25m,037+79_MGA,762.0308,0,0,26.53255,4458.8105,1.9576843,-0.28096
2M07183048-7032386,lco25m,281-23-O_TESS,178.29588,0,0,26.206066,4811.151,2.6240077,-0.65047
2M03565175+2609327,apo25m,K2_C4_168-21,182.34457,0,0,52.235172,4811.701,3.336462,0.23928
2M08110670+3511497,apo25m,186+31_btx,370.88962,0,0,4.8605957,4755.9194,2.428532,-0.18656
2M15390959-3954253,lco25m,335+12,146.66846,0,0,-45.075726,3919.342,0.89317757,-0.63812
2M08593779+5621531,apo25m,159+39_MGA,385.43088,0,0,-3.0116363,5928.2725,3.9527178,0.15787
2M09031624+2823070,apo25m,198+41_MGA,413.78006,0,0,59.363422,4866.87,2.4857903,-0.3063
